Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,lifting,,STOP,125.258,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,3754,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,assessing,,START,125.626,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,3765,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,jaw movement,,POINT,125.759,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,3769,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,sniffing,,POINT,125.892,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,3773,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,jaw movement,,POINT,126.193,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,3782,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,assessing,,STOP,126.293,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,3785,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,target,,START,126.426,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,3789,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,target,,STOP,135.669,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,4066,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,digging,,START,136.269,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,4084,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,digging,,STOP,138.872,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,4162,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,target,,START,138.872,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,4162,NA,
