Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Behavior type,Time,Media file name,Image index,Image file path,Comment
repo_1905_bloc1bis,2025-07-02 18:43:04.277,,432.232,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,0.0,1062.061,29.970,Repousse,startpeanutcontrol,,,POINT,487.754,C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,14618,NA,
repo_1905_bloc1bis,2025-07-02 18:43:04.277,,432.232,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,0.0,1062.061,29.970,Repousse,target,,,START,487.921,C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,14623,NA,
repo_1905_bloc1bis,2025-07-02 18:43:04.277,,432.232,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,0.0,1062.061,29.970,Repousse,target,,,STOP,491.458,C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,14729,NA,
repo_1905_bloc1bis,2025-07-02 18:43:04.277,,432.232,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,0.0,1062.061,29.970,Repousse,bending,,,START,492.092,C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,14748,NA,
repo_1905_bloc1bis,2025-07-02 18:43:04.277,,432.232,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,0.0,1062.061,29.970,Repousse,grabbing peanut,,,POINT,492.125,C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,14749,NA,
repo_1905_bloc1bis,2025-07-02 18:43:04.277,,432.232,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,0.0,1062.061,29.970,Repousse,lifting,,,START,492.158,C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,14750,NA,
repo_1905_bloc1bis,2025-07-02 18:43:04.277,,432.232,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,0.0,1062.061,29.970,Repousse,bending,,,STOP,492.192,C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,14751,NA,
repo_1905_bloc1bis,2025-07-02 18:43:04.277,,432.232,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,0.0,1062.061,29.970,Repousse,lifting,,,STOP,492.425,C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,14758,NA,
repo_1905_bloc1bis,2025-07-02 18:43:04.277,,432.232,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,0.0,1062.061,29.970,Repousse,assessing,,,START,492.592,C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,14763,NA,
repo_1905_bloc1bis,2025-07-02 18:43:04.277,,432.232,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,0.0,1062.061,29.970,Repousse,jaw movement,,,POINT,492.692,C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,14766,NA,
repo_1905_bloc1bis,2025-07-02 18:43:04.277,,432.232,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,0.0,1062.061,29.970,Repousse,sniffing,,,POINT,492.792,C:\Users\esthe\Downloads\repo_1905_bloc1bis\GP010702.MP4,14769,NA,
