Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Behavior type,Time,Media file name,Image index,Image file path,Comment
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,startpeanutcontrol,,,POINT,459.125,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13760,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,target,,,START,459.826,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13781,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,target,,,STOP,461.294,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13825,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,bending,,,START,461.628,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13835,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,bending,,,STOP,462.462,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13860,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,grabbing peanut,,,POINT,462.462,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13860,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,lifting,,,START,462.495,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13861,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,lifting,,,STOP,462.829,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13871,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,assessing,,,START,462.929,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13874,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,jaw movement,,,POINT,462.963,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13875,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,rotation,,Vertical,START,463.129,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13880,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,sniffing,,,POINT,463.229,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13883,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,jaw movement,,,POINT,463.396,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13888,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,rotation,,Vertical,STOP,463.396,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13888,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,rotation,,Vertical,START,463.530,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13892,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,jaw movement,,,POINT,463.697,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13897,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,rotation,,Vertical,STOP,463.697,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13897,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,sniffing,,,POINT,463.897,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13903,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,licking,,,POINT,464.164,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13911,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,jaw movement,,,POINT,464.431,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13919,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,rotation,,Vertical,START,464.431,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13919,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,jaw movement,,,POINT,464.664,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13926,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,rotation,,Vertical,STOP,464.664,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13926,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,rotation,,Vertical,START,464.698,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13927,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,jaw movement,,,POINT,464.965,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13935,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,rotation,,Vertical,STOP,464.965,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13935,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,rotation,,Vertical,START,464.998,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13936,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,jaw movement,,,POINT,465.165,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13941,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,rotation,,Vertical,STOP,465.165,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13941,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,sniffing,,,POINT,465.298,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13945,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,jaw movement,,,POINT,465.565,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13953,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,mouth,,,POINT,465.765,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13959,NA,
repo_1905_bloc1,2025-07-02 16:47:56.141,,470.003,Media file(s),player #1:C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,0.0,1062.061,29.970,Repousse,assessing,,,STOP,465.832,C:\Users\esthe\Downloads\repo_1905_bloc1\GOPR0702.MP4,13961,NA,
