Day,Condition,Number,Seed,Area_cm2,Area_px,Scale_px_mm,Filename,Modified_by_App,Resistance,Resistance normalized
Day 1,crushed,5,1,1.470863027,175850.5,34.57687088,IMG_9627.JPG,TRUE,18.2,12.37368787
Day 1,crushed,5,2,1.429238181,170874,34.57687088,IMG_9627.JPG,TRUE,26.7,18.68128094
Day 1,crushed,5,3,1.318938405,157687,34.57687088,IMG_9627.JPG,TRUE,20.8,15.7702588
Day 1,crushed,6,0,1.200668825,154924.5,35.92100132,IMG_9631.JPG,TRUE,16.5,13.74234065
Day 1,crushed,6,1,1.217017504,157034,35.92100132,IMG_9631.JPG,TRUE,17,13.96857477
Day 1,crushed,6,2,1.261010523,162710.5,35.92100132,IMG_9631.JPG,TRUE,15.8,12.52963374
Day 1,crushed,6,3,1.148763029,148227,35.92100132,IMG_9631.JPG,TRUE,16.1,14.01507499
Day 1,crushed,7,0,1.510154909,168184.5,33.372,IMG_9635.JPG,TRUE,17.5,11.58821516
Day 1,crushed,7,1,1.530420864,170441.5,33.372,IMG_9635.JPG,TRUE,12.6,8.233029421
Day 1,crushed,7,2,1.709739105,190412,33.372,IMG_9635.JPG,TRUE,17.6,10.29396822
Day 1,crushed,7,3,1.661565931,185047,33.372,IMG_9635.JPG,TRUE,12.6,7.583207963
Day 1,crushed,8,0,1.015950287,122123,34.67069148,IMG_9639.JPG,TRUE,13,12.79590169
Day 1,crushed,8,1,1.048024478,125978.5,34.67069148,IMG_9639.JPG,TRUE,20.4,19.46519422
Day 1,crushed,8,2,0.989645375,118961,34.67069148,IMG_9639.JPG,TRUE,21.5,21.72495375
Day 1,crushed,8,3,1.057138023,127074,34.67069148,IMG_9639.JPG,TRUE,24.3,22.9865916
Day 1,crushed,9,0,1.162692247,126998,33.0495882,IMG_9643.JPG,TRUE,6.6,5.676480612
Day 1,crushed,9,1,1.322555794,144459.5,33.0495882,IMG_9643.JPG,TRUE,15.5,11.71973241
Day 1,crushed,9,2,1.192629755,130268,33.0495882,IMG_9643.JPG,TRUE,13.4,11.23567473
Day 1,crushed,9,3,1.260762763,137710,33.0495882,IMG_9643.JPG,TRUE,9.4,7.455803959
Day 1,hole,1,0,1.591425802,173840.5,33.05082341,IMG_9572.JPG,TRUE,14.6,9.174163183
Day 1,hole,1,1,1.532722462,167428,33.05082341,IMG_9572.JPG,TRUE,16.2,10.56942819
Day 1,hole,1,2,NA,4293,33.05082341,IMG_9572.JPG,TRUE,11.9,
Day 1,hole,1,3,1.49950072,163799,33.05082341,IMG_9572.JPG,TRUE,15.8,10.53684056
Day 1,hole,1,4,1.63083142,178145,33.05082341,IMG_9572.JPG,TRUE,NA,#VALUE!
Day 1,hole,2,0,1.911571374,219944.5,33.9204257,IMG_9575.JPG,TRUE,25.7,13.44443653
Day 1,hole,2,1,1.916434074,220504,33.9204257,IMG_9575.JPG,TRUE,21.3,11.11439224
Day 1,hole,2,2,1.865304019,214621,33.9204257,IMG_9575.JPG,TRUE,24,12.8665353
Day 1,hole,2,3,1.800520162,207167,33.9204257,IMG_9575.JPG,TRUE,21,11.66329622
Day 1,hole,3,0,1.681205407,174237,32.19287797,IMG_9578.JPG,TRUE,16.6,9.873867839
Day 1,hole,3,1,1.627581326,168679.5,32.19287797,IMG_9578.JPG,TRUE,3.9,2.396193627
Day 1,hole,3,2,1.693266604,175487,32.19287797,IMG_9578.JPG,TRUE,17.9,10.57128273
Day 1,hole,3,3,1.700754195,176263,32.19287797,IMG_9578.JPG,TRUE,18.1,10.64233741
Day 1,hole,4,0,1.616851605,169732.5,32.40018,IMG_9582.JPG,TRUE,13.9,8.596954696
Day 1,hole,4,1,1.572489577,165075.5,32.40018,IMG_9582.JPG,TRUE,20.8,13.22743267
Day 1,hole,4,2,1.520959324,159666,32.40018,IMG_9582.JPG,TRUE,15.4,10.1251886
Day 1,hole,4,3,1.567007433,164500,32.40018,IMG_9582.JPG,TRUE,19.7,12.57173361
Day 1,hole,5,0,1.694899215,194012,33.83314399,IMG_9587.JPG,TRUE,13.7,8.083076489
Day 1,hole,5,1,1.538707315,176133,33.83314399,IMG_9587.JPG,TRUE,19.1,12.41301696
Day 1,hole,5,2,1.473580036,168678,33.83314399,IMG_9587.JPG,TRUE,12.6,8.550604443
Day 1,hole,5,3,1.549312884,177347,33.83314399,IMG_9587.JPG,TRUE,24.5,15.81346174
Day 1,hole,6,0,1.976935027,175767,29.81758542,IMG_9591.JPG,TRUE,17.2,8.700336514
Day 1,hole,6,1,1.949333722,173313,29.81758542,IMG_9591.JPG,TRUE,NA,#VALUE!
Day 1,hole,6,2,1.870235851,166280.5,29.81758542,IMG_9591.JPG,TRUE,15,8.020378818
Day 1,hole,6,3,1.976158951,175698,29.81758542,IMG_9591.JPG,TRUE,17.8,9.007372606
Day 1,hole,7,0,1.288970408,149254,34.02839896,IMG_9595.JPG,TRUE,12,9.309756008
Day 1,hole,7,1,1.324283364,153343,34.02839896,IMG_9595.JPG,TRUE,10.3,7.777791579
Day 1,hole,7,2,1.367545838,158352.5,34.02839896,IMG_9595.JPG,TRUE,19.5,14.25911984
Day 1,hole,7,3,1.290546494,149436.5,34.02839896,IMG_9595.JPG,TRUE,18.4,14.25752585
Day 1,hole,8,0,1.382091975,196366.5,37.69339252,IMG_9599.JPG,TRUE,10.9,7.886595247
Day 1,hole,8,1,1.283576488,182369.5,37.69339252,IMG_9599.JPG,TRUE,17.2,13.40005848
Day 1,hole,8,2,1.445693832,205403,37.69339252,IMG_9599.JPG,TRUE,13.8,9.545589593
Day 1,hole,8,3,1.536403813,218291,37.69339252,IMG_9599.JPG,TRUE,10.6,6.899227867
Day 1,hole,9,0,1.701365795,218808,35.86185494,IMG_9603.JPG,TRUE,18.3,10.75606436
Day 1,hole,9,1,1.772353232,227937.5,35.86185494,IMG_9603.JPG,TRUE,18.5,10.43809985
Day 1,hole,9,2,1.036597746,133314,35.86185494,IMG_9603.JPG,TRUE,14.4,13.89159879
Day 1,hole,9,3,1.104097821,141995,35.86185494,IMG_9603.JPG,TRUE,13.2,11.95546241
Day 3,control,1,0,1.49541286,143700,30.99901031,IMG_9809.JPG,TRUE,17.3,11.56871153
Day 3,control,1,1,1.55924628,149834,30.99901031,IMG_9809.JPG,TRUE,NA,#VALUE!
Day 3,control,1,2,1.469688013,141228,30.99901031,IMG_9809.JPG,TRUE,8.4,5.715498751
Day 3,control,1,3,1.317467055,126600.5,30.99901031,IMG_9809.JPG,TRUE,18.1,13.73848396
Day 3,control,2,0,1.26832622,128862.5,31.87482367,IMG_9813.JPG,TRUE,13.2,10.40741711
Day 3,control,2,1,1.360998064,138278,31.87482367,IMG_9813.JPG,TRUE,12.6,9.25791177
Day 3,control,2,2,1.351288461,137291.5,31.87482367,IMG_9813.JPG,TRUE,18.3,13.54263026
Day 3,control,2,3,1.296923538,131768,31.87482367,IMG_9813.JPG,TRUE,10.8,8.327399177
Day 3,control,3,0,1.677093277,176056.5,32.40018,IMG_9817.JPG,TRUE,10,5.962697566
Day 3,control,3,1,1.647220114,172920.5,32.40018,IMG_9817.JPG,TRUE,4.7,2.853292016
Day 3,control,3,2,1.640099518,172173,32.40018,IMG_9817.JPG,TRUE,18.2,11.0968876
Day 3,control,3,3,1.677974421,176149,32.40018,IMG_9817.JPG,TRUE,16.5,9.833284581
Day 3,control,4,0,1.499257599,203407.5,36.83370044,IMG_9821.JPG,TRUE,7.8,5.202574933
Day 3,control,4,1,1.506274514,204359.5,36.83370044,IMG_9821.JPG,TRUE,7.5,4.979172077
Day 3,control,4,2,0.869080361,117910,36.83370044,IMG_9821.JPG,TRUE,8.4,9.665389275
Day 3,control,4,3,0.888266318,120513,36.83370044,IMG_9821.JPG,TRUE,10.2,11.48304264
Day 3,control,5,0,1.549841287,199263,35.8566506,IMG_9825.JPG,TRUE,6.5,4.193977832
Day 3,control,5,1,1.711302046,220022,35.8566506,IMG_9825.JPG,TRUE,7.3,4.265757771
Day 3,control,5,2,1.545466236,198700.5,35.8566506,IMG_9825.JPG,TRUE,14.7,9.511692755
Day 3,control,5,3,1.733776195,222911.5,35.8566506,IMG_9825.JPG,TRUE,11.1,6.402210407
Day 3,control,6,0,0.270208218,31293,34.03096966,IMG_9829.JPG,TRUE,NA,#VALUE!
Day 3,control,6,1,0.26754007,30984,34.03096966,IMG_9829.JPG,TRUE,NA,#VALUE!
Day 3,control,6,2,1.580065714,182988.5,34.03096966,IMG_9829.JPG,TRUE,10.2,6.455427712
Day 3,control,6,3,1.380537501,159881,34.03096966,IMG_9829.JPG,TRUE,14.1,10.21341325
Day 3,control,7,0,1.207489824,168970.5,37.40793242,IMG_9833.JPG,TRUE,9.5,7.867561128
Day 3,control,7,1,NA,3487.5,37.40793242,IMG_9833.JPG,TRUE,9.2,
Day 3,control,7,2,1.214167908,169905,37.40793242,IMG_9833.JPG,TRUE,15.9,13.09538812
Day 3,control,7,3,1.44572128,202307.5,37.40793242,IMG_9833.JPG,TRUE,10.5,7.262810713
Day 3,control,7,4,1.482509699,207455.5,37.40793242,IMG_9833.JPG,TRUE,NA,#VALUE!
Day 3,control,8,0,0.804666455,92547,33.91354774,IMG_9837.JPG,TRUE,10.2,12.67605967
Day 3,control,8,1,0.798110667,91793,33.91354774,IMG_9837.JPG,TRUE,10.6,13.28136615
Day 3,control,8,2,1.34473644,154662,33.91354774,IMG_9837.JPG,TRUE,3.9,2.900196563
Day 3,control,8,3,1.400508458,161076.5,33.91354774,IMG_9837.JPG,TRUE,4.4,3.141716121
Day 3,control,9,0,1.784740529,223198,35.36369257,IMG_9841.JPG,TRUE,29.1,16.30489112
Day 3,control,9,1,1.872762929,234206,35.36369257,IMG_9841.JPG,TRUE,12.2,6.514439073
Day 3,control,9,2,1.809464844,226290,35.36369257,IMG_9841.JPG,TRUE,15.6,8.621333568
Day 3,control,9,3,1.93192297,241604.5,35.36369257,IMG_9841.JPG,TRUE,18.9,9.782998749
Day 3,control,10,0,1.175945118,157716,36.62219327,IMG_9845.JPG,TRUE,13.1,11.13997567
Day 3,control,10,1,1.178905187,158113,36.62219327,IMG_9845.JPG,TRUE,9.6,8.143148498
Day 3,control,10,2,1.568146779,210317.5,36.62219327,IMG_9845.JPG,TRUE,9.1,5.803028214
Day 3,control,10,3,1.502093253,201458.5,36.62219327,IMG_9845.JPG,TRUE,8.9,5.925064892
Day 3,crushed,1,0,1.880675147,158732.5,29.052,IMG_9895.JPG,TRUE,NA,#VALUE!
Day 3,crushed,1,1,1.492129255,125938.5,29.052,IMG_9895.JPG,TRUE,NA,#VALUE!
Day 3,crushed,2,0,1.300785691,126844,31.22713128,IMG_9899.JPG,TRUE,12.1,9.302070344
Day 3,crushed,2,1,1.329550976,129649,31.22713128,IMG_9899.JPG,TRUE,21.7,16.32129974
Day 3,crushed,2,2,1.586064512,154662.5,31.22713128,IMG_9899.JPG,TRUE,19.7,12.42068015
Day 3,crushed,2,3,1.630396893,158985.5,31.22713128,IMG_9899.JPG,TRUE,16.6,10.18156994
Day 3,crushed,3,0,2.091729249,187400.5,29.93178645,IMG_9903.JPG,TRUE,NA,#VALUE!
Day 3,crushed,3,1,2.300181679,206076,29.93178645,IMG_9903.JPG,TRUE,NA,#VALUE!
Day 3,crushed,4,0,1.307619559,114508,29.59219708,IMG_9907.JPG,TRUE,NA,#VALUE!
Day 3,crushed,4,1,1.642912042,143869.5,29.59219708,IMG_9907.JPG,TRUE,NA,#VALUE!
Day 3,crushed,4,2,1.111644491,97346.5,29.59219708,IMG_9907.JPG,TRUE,18.5,16.64201113
Day 3,crushed,4,3,1.092511186,95671,29.59219708,IMG_9907.JPG,TRUE,14.8,13.54677206
Day 3,crushed,5,0,1.572758287,111014.5,26.568,IMG_9910.JPG,TRUE,7.3,4.641526967
Day 3,crushed,5,1,1.556543991,109870,26.568,IMG_9910.JPG,TRUE,7,4.497142412
Day 3,crushed,5,2,1.587598369,112062,26.568,IMG_9910.JPG,TRUE,18.8,11.84178591
Day 3,crushed,5,3,1.483257361,104697,26.568,IMG_9910.JPG,TRUE,22,14.83222034
Day 3,crushed,6,0,1.499286473,123821.5,28.73794565,IMG_9914.JPG,TRUE,8.4,5.602665101
Day 3,crushed,6,1,1.503536539,124172.5,28.73794565,IMG_9914.JPG,TRUE,5.9,3.924081554
Day 3,crushed,6,2,1.089094558,89945,28.73794565,IMG_9914.JPG,TRUE,14.1,12.94653425
Day 3,crushed,6,3,1.039867654,85879.5,28.73794565,IMG_9914.JPG,TRUE,12.4,11.9245944
Day 3,crushed,7,0,1.427890009,105767,27.21621428,IMG_9918.JPG,TRUE,16.5,11.55551191
Day 3,crushed,7,1,1.467986006,108737,27.21621428,IMG_9918.JPG,TRUE,15.9,10.83116592
Day 3,crushed,7,2,0.950065876,70373.5,27.21621428,IMG_9918.JPG,TRUE,17.1,17.99875191
Day 3,crushed,7,3,1.04792981,77622.5,27.21621428,IMG_9918.JPG,TRUE,12.4,11.83285358
Day 3,crushed,8,0,1.526553213,140597.5,30.34819217,IMG_9922.JPG,TRUE,NA,#VALUE!
Day 3,crushed,8,1,1.521211267,140105.5,30.34819217,IMG_9922.JPG,TRUE,NA,#VALUE!
Day 3,crushed,8,2,0.419977891,38680.5,30.34819217,IMG_9922.JPG,TRUE,14.8,35.23995028
Day 3,crushed,8,3,NA,2488.5,30.34819217,IMG_9922.JPG,TRUE,12.5,
Day 3,hole,1,0,1.991206946,159542.5,28.30609744,IMG_9849.JPG,TRUE,13.6,6.830028405
Day 3,hole,1,1,1.895779281,151896.5,28.30609744,IMG_9849.JPG,TRUE,11.3,5.960609506
Day 3,hole,1,2,1.831291346,146729.5,28.30609744,IMG_9849.JPG,TRUE,9.7,5.296808736
Day 3,hole,1,3,1.968292325,157706.5,28.30609744,IMG_9849.JPG,TRUE,18,9.144983077
Day 3,hole,1,4,NA,0,28.30609744,IMG_9849.JPG,TRUE,NA,#VALUE!
Day 3,hole,2,0,1.566527418,133511.5,29.19378043,IMG_9853.JPG,TRUE,12.2,7.78792625
Day 3,hole,2,1,1.581604679,134796.5,29.19378043,IMG_9853.JPG,TRUE,7.9,4.994927054
Day 3,hole,2,2,1.466202033,124961,29.19378043,IMG_9853.JPG,TRUE,13.6,9.275665765
Day 3,hole,2,3,1.421609713,121160.5,29.19378043,IMG_9853.JPG,TRUE,12.6,8.863192116
Day 3,hole,3,0,1.736938889,182501,32.41457672,IMG_9857.JPG,TRUE,4.4,2.533192174
Day 3,hole,3,1,1.879200542,197448.5,32.41457672,IMG_9857.JPG,TRUE,19.9,10.58960954
Day 3,hole,3,2,1.645462195,172889.5,32.41457672,IMG_9857.JPG,TRUE,21.4,13.0054644
Day 3,hole,3,3,1.739327762,182752,32.41457672,IMG_9857.JPG,TRUE,21.3,12.24611052
Day 3,hole,4,0,1.995572762,201212.5,31.75365302,IMG_9866.JPG,TRUE,9.7,4.860759871
Day 3,hole,4,1,1.941159095,195726,31.75365302,IMG_9866.JPG,TRUE,18,9.272810276
Day 3,hole,4,2,1.283479207,129412.5,31.75365302,IMG_9866.JPG,TRUE,NA,#VALUE!
Day 3,hole,4,3,1.457054491,146914,31.75365302,IMG_9866.JPG,TRUE,NA,#VALUE!
Day 3,hole,5,0,1.735932755,182249.5,32.40161996,IMG_9871.JPG,TRUE,13.2,7.603981182
Day 3,hole,5,1,1.839546079,193127.5,32.40161996,IMG_9871.JPG,TRUE,20,10.87224736
Day 3,hole,5,2,2.092259529,219659,32.40161996,IMG_9871.JPG,TRUE,16.6,7.934006165
Day 3,hole,5,3,2.096183843,220071,32.40161996,IMG_9871.JPG,TRUE,12.6,6.010923155
Day 3,hole,6,0,1.567286308,141298,30.02574815,IMG_9875.JPG,TRUE,17.2,10.97438286
Day 3,hole,6,1,1.725253923,155539.5,30.02574815,IMG_9875.JPG,TRUE,15.7,9.100109725
Day 3,hole,6,2,1.615481322,145643,30.02574815,IMG_9875.JPG,TRUE,11.9,7.36622568
Day 3,hole,6,3,1.618564915,145921,30.02574815,IMG_9875.JPG,TRUE,11.7,7.228625735
Day 3,hole,7,0,1.664329046,174949.5,32.42177268,IMG_9879.JPG,TRUE,14.7,8.832388064
Day 3,hole,7,1,2.050117721,215502.5,32.42177268,IMG_9879.JPG,TRUE,6.8,3.316882699
Day 3,hole,7,2,1.89768301,199479,32.42177268,IMG_9879.JPG,TRUE,14.4,7.58820094
Day 3,hole,7,3,1.757824745,184777.5,32.42177268,IMG_9879.JPG,TRUE,7.6,4.323525437
Day 3,hole,8,0,1.954354715,206715,32.52252832,IMG_9883.JPG,TRUE,11.8,6.037798518
Day 3,hole,8,1,1.928109456,203939,32.52252832,IMG_9883.JPG,TRUE,3.9,2.022706744
Day 3,hole,8,2,1.703998959,180234.5,32.52252832,IMG_9883.JPG,TRUE,13.7,8.039911015
Day 3,hole,8,3,1.993074981,210810.5,32.52252832,IMG_9883.JPG,TRUE,8.9,4.465461705
Day 3,hole,9,0,1.376764605,139828.5,31.86896823,IMG_9887.JPG,TRUE,11.3,8.207648539
Day 3,hole,9,1,1.556165368,158049,31.86896823,IMG_9887.JPG,TRUE,20,12.85210455
Day 3,hole,9,2,1.259876696,127957,31.86896823,IMG_9887.JPG,TRUE,10.2,8.096030375
Day 3,hole,9,3,1.155483481,117354.5,31.86896823,IMG_9887.JPG,TRUE,6.9,5.971526306
Day 3,hole,10,0,1.655338401,154642.5,30.56476324,IMG_9891.JPG,TRUE,14.5,8.759538228
Day 3,hole,10,1,1.664126624,155463.5,30.56476324,IMG_9891.JPG,TRUE,11.6,6.970623409
Day 3,hole,10,2,1.865046176,174233.5,30.56476324,IMG_9891.JPG,TRUE,17.6,9.436763673
