date,time.of.day,time (UTC),temperature (°C),Study site,ID,weather,Fruit,unstem,peel,transported,scatter.hoarded,eaten.lifted,eaten.on.the.floor,peeled.lifted,rotate,scent-marking,handling.only,comments,order taken,trials before first bite,peel bouts before first eating bout,hands used while eating,bite for each peeling bout (mean),total peeling bout,trials before scatterhoarding,leaf on top,time.first.peeling,time.first.eating,nb of eating bout before second peeling bout,,,,
21/03/2025,afternoon,20:41,29,Airbnb1,Unidentified,cloudy,apple,0,0,1,0,0,1,NA,NA,NA,0,,2/6,3,0,2,NA,NA,NA,NA,,,,,,,
21/03/2025,afternoon,20:42,29,Airbnb1,Unidentified,cloudy,banana,0,1,1,0,0,1,0,0,0,0,,3/6,2,2,2,10,3,NA,NA,,,,,,,
21/03/2025,afternoon,20:43,30,Airbnb1,Unidentified,cloudy,banana,0,1,0,0,0,0,0,0,0,1,,4/6,3,NA,0,3,2,NA,NA,,,,,,,
21/03/2025,afternoon,20:43,30,Airbnb1,Unidentified,cloudy,banana,0,1,1,0,0,1,0,1,0,0,Change the place of bite toequilibrate and transport,4/6,2,3,2,8,9,NA,NA,,,,,,,
21/03/2025,afternoon,20:44,31,Airbnb1,Unidentified,cloudy,orange,0,1,1,0,0,1,0,1,0,0,"First bites the orange, then put two hands around it, starts peeling, then transport it somewhere else",5/6,12,4,2,8,5,NA,NA,,,,,,,
21/03/2025,afternoon,20:49,31,Airbnb1,Unidentified,cloudy,orange,0,0,0,0,0,0,0,1,0,1,"Roates towards the stem, bites the stem, but then leaves",NA,4,NA,2,NA,NA,NA,NA,,,,,,,
21/03/2025,afternoon,21:00,32,Airbnb1,Unidentified,cloudy,orange,0,1,1,0,0,1,0,0,0,0,,6/6,NA,NA,NA,NA,NA,NA,NA,,,,,,,
22/03/2025,afternoon,20:12,31,Airbnb1,Unidentified,cloudy,apple,0,1,1,0,0,1,0,1,0,0,"Peeling was discovered by post obersvation, not on video",1/6,NA,NA,NA,NA,NA,NA,NA,,,,,,,
22/03/2025,afternoon,20:15,32,Airbnb1,Unidentified,cloudy,apple,0,1,1,0,0,1,0,1,0,0,"Peeling was discovered by post obersvation, not on video",2/6,NA,NA,NA,NA,NA,NA,NA,,,,,,,
22/03/2025,afternoon,20:15,32,Airbnb1,Unidentified,cloudy,banana,0,1,1,0,0,1,0,0,0,0,Human observation,3/6,NA,NA,NA,NA,NA,NA,NA,,,,,,,
22/03/2025,afternoon,20:16,32,Airbnb1,Unidentified,cloudy,banana,0,1,1,0,0,1,0,0,0,0,Human observation,4/6,NA,NA,NA,NA,NA,NA,NA,,,,,,,
22/03/2025,afternoon,20:21,33,Airbnb1,Unidentified,cloudy,orange,0,0,0,0,0,0,0,1,0,1,"Rotation with 2 hands, sniffing, then leaves",NA,2,NA,2,NA,NA,NA,NA,,,,,,,
22/03/2025,afternoon,20:23,33,Airbnb1,Unidentified,cloudy,orange,0,0,0,0,0,0,0,1,0,1,"Rotation with 2 hands, sniffing, then leaves",NA,5,NA,2,NA,NA,NA,NA,,,,,,,
22/03/2025,afternoon,20:41,33,Airbnb1,Unidentified,cloudy,orange,0,0,1,0,0,1,0,1,0,0,"Rotate with 2 hands for a long time, finally suceed biting it, then transport and eat",5/6,11,NA,2,NA,NA,NA,NA,,,,,,,
22/03/2025,afternoon,22:50,33,Airbnb1,Unidentified,cloudy,orange,0,0,1,0,0,1,0,1,0,0,"rotate with one hand, bites and transport",6/6,3,NA,2,NA,NA,NA,NA,,,,,,,
23/03/2025,morning,12:02,25,Airbnb1,Unidentified,cloudy,apple,0,1,1,0,1,0,1,1,0,0,"rotate wirh one hand, bites and leave. In another video, we see eating it and peel it.",1/9,11,4,2,7,12,NA,NA,,,,,,,
23/03/2025,morning,12:03,26,Airbnb1,Unidentified,cloudy,banana,0,1,1,0,0,1,0,0,0,0,,2/9,0,NA,2,NA,NA,NA,NA,,,,,,,
23/03/2025,morning,12:08,23,Airbnb1,Unidentified,cloudy,banana,0,1,1,0,0,1,0,0,0,0,,4/9,0,2,2,NA,3,NA,NA,,,,,,,
23/03/2025,morning,12:32,26,Airbnb1,Unidentified,cloudy,apple,0,1,1,0,0,1,0,1,0,0,"rotated with two hands, then eated. can't see any peeling",3/9,2,2,2,7,6,NA,NA,,,,,,,
23/03/2025,morning,12:33,26,Airbnb1,Unidentified,cloudy,orange,0,0,0,0,0,0,0,0,0,0,just scent marking the orange,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
23/03/2025,morning,12:34,,Airbnb1,Unidentified,cloudy,apple,0,1,1,0,0,1,0,1,0,0,,5/9,2,5,2,NA,5,NA,NA,,,,,,,
23/03/2025,morning,12:40,,Airbnb1,Unidentified,sunny,banana,0,1,1,0,0,1,0,0,0,0,keeps displacing with banana after congeners approches,6/9,0,3,2,5,4,NA,NA,,,,,,,
23/03/2025,morning,12:46,,Airbnb1,Unidentified,sunny,orange,0,NA,NA,NA,NA,NA,0,NA,0,0,Abandonned,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
